,CRITERES_ATTRIBUTION_1,CRITERES_ATTRIBUTION_2
8028,Valeur technique,Prix
8030,Valeur technique,Prix des prestations
8034,Valeur technique (appréciée notamment daprès le mémoire technique dont équipe (20% et méthodologie (30%,Prix des prestations
8035,Le prix des prestations,La valeur technique de loffre pour
8037,Valeur technique de loffre,Prix
8040,La tarification,La nature et létendue des garanties : (2.1 : montant de franchise - 2.2 : montant des plafonds de garantie - 2.3 : exclusions
8042,Lot 1 : Prix,Lot 1 : Qualité de léquipe dédiée
8043,Prix,Valeur technique
8048,Valeur technique,Prix
8049,Valeur technique appréciée sur la pertinence du mémoire technique,Prix des prestations
8050,Qualités,Prix et remise tarifaire
8051,Prix,SAV/Garantie
8053,Prix des prestations,Valeur technique
8056,Critère prix,Critère technique
8057,Prix,Valeur technique de loffre
8058,prix,valeur technique de loffre
8059,Valeur technique de la note méthodologique,Prix des prestations
8063,Qualité technique de loffre,Prix des prestations
8065,Prix,Valeur technique et environnementale
8067,valeur technique,prix des prestations
8069,valeur technique,coût dexploitation
8070,Valeur technique,Prix
8071,Valeur technique,Prix
8073,Prix,Qualité des fournitures
8074,Valeur technique,Prix des prestations
8075,valeur technique (méthologie; moyens techniques et humains,prix de la prestation
8078,Prix des prestations,Valeur technique
8079,Valeur technique de loffre (60 pts,Prix de loffre (30 pts
8080,Prix,Valeur technique
8082,Valeur technique appréciée en fonction de la documentation technique fournie et des essais du véhicule (si nécessaire,Prix
8083,Prix,Valeur technique
8084,Valeur technique appréciée sur le mémoire technique,Prix des prestations
8087,Prix,Qualité des lieux proposés
8089,Valeur technique,Prix des prestations
8091,Prix,Valeur technique de loffre jugée au vu du mémoire justificatif
8093,Valeur technique (60 pts sur la base du mémoire technique justificatif,Prix (40 pts sur la base du forfait provisoire de rémunération et du montant des missions complémentaires
8094,Prix,Valeur technique au vu du mémoire
8095,- Prix,- Planning prévisionnel détaillé
8098,Prix,Valeur technique et environnementale
8100,valeur technique,prix
8103,Prix,valeur technique appréciée en fonction des éléments figurant dans le mémoire technique et notamment :-le moyen technique mis en oeuvre permettant dassurer la traçabilité de lentretien
8104,Prix : 70 %,Technique : 30 %
8109,prix,valeur technique
8110,Prix des prestations,Valeur technique et environnementale
8116,Le prix,La valeur technique sera évaluée sur la base dun mémoire technique - à joindre à loffre - comportant :1 - Une note méthodologique sur la phase études avec : Un descriptif du contenu de chaque phase depuis le diagnostic jusquau projet
8120,VALEUR TECHNIQUE DE LOFFRE (voir sous pondération au règlement de consultation,PRIX
8121,Prix,Délai de livraison
8123,Prix,Valeur technique
8125,Valeur technique,Prix des prestations
8126,qualité de service et délai de livraison,prix
8129,Prix,Technique
8132,Valeur technique,Prix
8133,Valeur technique de loffre,Prix de loffre
8134,Prix,Mémoire technique
8135,Prix des prestations,Valeur technique
8137,Prix,Valeur technique et environnementale de loffre
8138,Prix,Valeur technique et environnementale
8140,qualité,prix
8142,Valeur technique de loffre (60 pts,Prix de loffre (40 pts
8143,qualité du dossier technique,prix
8144,prix,valeur technique
8146,Valeur technique,Prix des prestations
8147,Valeurs techniques,Diversité des éditeurs
8148,Qualité de la méthodologie proposée,Prix de la prestation
8149,Prix détaillé des prestations,Valeur technique appréciée au regard dun mémoire méthodologique
8153,Prix au vu montant global de loffre,Valeur technique
8155,Qualité de loffre : 60 pts,Prix de loffre\xa0: 40 pts
8158,Prix,Délai dexécution
8160,Valeur technique,Prix des prestations
8163,Prix des prestations,Valeur technique
8180,Valeur technique et environnementale,Délai dexécution
8182,Prix,Valeur technique et environnementale
8184,Prix,Valeur technique de loffre
8190,Qualité de loffre,Prix
8195,Prix,Valeur technique appréciée au vu du mémoire technique
8199,Valeur technique de loffre,Prix
8214,prix,dossier technique
8215,PRIX,VALEUR TECHNIQUE
8216,Qualité technique,Coût des travaux
8222,Prix,Valeur technique de loffre
8225,Valeur technique,Prix des prestations
8238,Qualité de loffre,Prix
8254,Valeur technique,Prix
8257,Prix,Qualité de la prestation
8260,Valeur technique,Prix
8266,Prix des prestations,Valeur technique analysée à partir du mémoire technique
8274,Prix,Valeur technique
8275,Prix,Valeur technique et environnementale
8287,Valeur technique,Prix
8289,Valeur technique de loffre,Prix
8295,Valeur technique,Prix
8298,Valeur technique,Diversité des éditeurs
8302,dossier technique,délais de livraison
8303,Valeur technique appréciée à partir des sous critères mentionnés au règlement de la consultation,Prix apprécié à partir de la somme des DPGF de chaque site
8308,tarification,valeur technique
8310,Prix des prestations analysé à partir du DQE,Valeur technique analysée à partir du mémoire technique
8313,Nature et étendue des garanties et des franchises au regard des clauses techniques particulières,Conditions tarifaires
8315,prix,délai de livraison
8320,Valeur technique,Prix
8326,respect optimal des conditions définies sur le cahier des clauses techniques particulières,conditions financières
8328,Prix des prestations,Délai de livraison ou dexécution
8345,Valeur technique,Prix des prestations
8351,Prix des prestations,Valeur technique
8353,Prix des prestations,Valeur technique avec les ss-critères : moyens humains et techniques affectés
8363,Valeur technique jugée au regard des fiches techniques demandées,Prix évalué à partir du détail quantitatif estimatif
8375,prix,valeur technique
8379,Prix des prestations,Valeur technique
8393,Valeur technique,Prix des prestations
8394,Valeur technique (analyse de la fiche technique 40 %;analyse de la garantie 10 %,Prix des prestations
8399,Prix,Valeur technique
8412,Valeur technique de loffre (Qualité,Prix des prestations
8415,prix,délai dintervention
8418,Valeur technique,Prix des prestations
8419,prix,délai dintervention
8424,Prix,Note technique
8425,prix apprécié au vu du DEQ pour les deux lots,valeur technique
8430,Note technique selon questionnaire remis,Prix des prestations
8440,Valeur technique de loffre,Prix
8446,Prix des prestations,Valeur technique
8451,Valeur technique de loffre,Service après vente et assistance technique
8453,Valeur technique (analyse des compétences,Prix des prestations
8454,Prix des prestations,Valeur technique
8457,Prix des prestations,Qualité
8461,Prix des prestations,Le délai des études
8462,Valeur technique,Prix des prestations
8463,valeur technique,prix
8466,Montants et qualité des garanties,Prix de loffre
8467,Valeur technique,Prix des prestations
8473,Note méthodologique,Prix
8475,Prix,Valeur technique
8477,Valeur technique,Délais
8480,Prix,Valeur technique selon mémoire
8482,Valeur technique,Prix des prestations
8483,Prix,Valeur technique
8484,Prix des prestations,Valeur technique
8496,Valeur technique,Prix des prestations
8497,Prix,Valeur technique
8498,prix,valeur technique
8500,Valeur technique de loffre,Prix des prestations
8506,Prix des prestations,Valeur technique
8513,La qualite (traçabilité,Prix
8516,critère économique,critère technique
8517,Valeur technique,Prix des prestations
8518,Prix des prestations,Valeur technique : Le critère valeur technique sera apprécié au vu des précisions apportées dans le mémoire technique et des deux sous-critères suivants : - - matériel mis à disposition et protocole de sécurité en cas de pollution accidentelle : 50 % - - moyens humains affectés à la prestation : 50 %
8521,Prix,Valeur technique
8522,Forfait de rémunérattion,Note méthodologique
8524,Prix des prestations,Valeur technique
8529,Prix des prestations,Valeur technique
8532,Valeur technique de loffre,Prix
8534,Prix des prestations,Valeur technique
8535,Prix des prestations,Valeur technique
8539,Valeur technique,Prix
8540,Proposition financière,Qualité des dispositions que lentreprise se propose dadopter pour lexécution des prestations telles que décrites dans le mémoire technique et sur la base des éléments demandés au règlement de consultation
8543,Prix analysé à partir du DQE,Délais de livraison
8544,valeur technique,prix
8547,Prix des prestations,Valeur technique
8549,Valeur technique,Prix
8551,Valeur technique de loffre,Prix
8553,Valeur technique,Prix des prestations
8556,Valeur technique,Prix
8557,la valeur technique,le prix
8558,Valeur technique de loffre,Prix
8559,prix,qualité
8560,Valeur technique appréciée en fonction des éléments figurant dans le mémoire technique et fournis à lappui de loffre (Coupes de principe des travaux,Prix des travaux
8562,Nature et étendues des garanties,Moyens de la gestion du contrat et des sinistres
8563,Prix des prestations,Valeur technique
8564,Valeur technique,Prix des prestations
8571,Prix des dispositifs médicaux,Adéquation à la prescription médicale (Ergonomie
8572,valeur technique,critère environnemental
8573,Prix,Valeur technique
8574,Prix des prestations,Valeur technique
8575,Prix,Valeur technique
8581,Prix des prestations,Valeur technique
8589,Prix des prestations,Valeur technique appréciée au regard des réponses formulées par le candidat dans son mémoire technique
8590,valeur financière,délai de livraison
8591,Valeur technique des offres,Prix
8592,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
8593,prix,valeur technique
8594,- méthodologie-caractéristiques de la prestation,- délais dintervention :
8595,Lot 1 : Prix des prestations,Lot 1 : Valeur technique
8599,Qualité technique,Prix
8600,Valeur technique des prestations,Prix des prestations
8604,Prix des prestations,Valeur technique
8609,Valeur technique,Prix des prestations
8610,Prix des prestations,Valeur artistique
8612,- technicité : 40%,- prix : 40%
8615,Qualité de la note de présentation (cf art 7 du CCAP,Qualité de la note méthodologique (cf art 7 du CCAP
8616,Valeur technique,Prix
8618,Prix des prestations,Valeur technique
8620,Valeur technique,Prix
8624,Prix,Valeur technique
8626,valeur technique des prestations,prix des prestations
8628,Valeur technique appréciée au regard dun mémoire technique,Prix
8631,Prix des prestations,Délai de réalisation
8632,Valeur technique,Montant de loffre
8633,Valeur technique des prestations,Prix
8636,Prix,Valeur technique (au regard dun mémoire technique fourni par le candidat
8637,Prix des prestations,Valeur technique
8640,Valeur technique,Prix
8643,Délai de livraison,Prix (dont frais de livraison
8644,Prix des prestations,Valeur technique
8645,Valeur technique,Prix des prestations
8646,Valeur technique,Prix
8648,Lot LOT1 : Valeur technique,Lot LOT1 : Prix des prestations
8659,Prix,Valeur technique (cf. RC
8660,Valeur technique appréciée au regard du mémoire technique,Prix apprécié au vu du montant global des DQE
8664,capacités techniques,prix des prestations
8665,Coût global de la fourniture et des prestations associées sur la durée totale du contrat,Valeur technique appréciée au vu du mémoire technique fourni par le candidat
8666,Prix : 70 points,Valeur technique (Qualité de la DPGF
8668,valeur technique de loffre,prix
8670,Prix jugé sur le montant total du DQE,Valeur technique au vu du mémoire technique
8673,Valeur technique,Prix des prestations
8676,Valeur technique,Prix des prestations
8677,valeur technique,prix des prestations
